"","State","Year","population"
"1","Alabama","2012",4815564
"2","Alaska","2012",730399
"3","Arizona","2012",6556629
"4","Arkansas","2012",2952109
"5","California","2012",37960782
"6","Colorado","2012",5193721
"7","Connecticut","2012",3594395
"8","Delaware","2012",915188
"9","District of Columbia","2012",634725
"10","Florida","2012",19326230
"11","Georgia","2012",9901496
"12","Hawaii","2012",1394905
"13","Idaho","2012",1595441
"14","Illinois","2012",12884119
"15","Indiana","2012",6537640
"16","Iowa","2012",3076097
"17","Kansas","2012",2885361
"18","Kentucky","2012",4386381
"19","Louisiana","2012",4600814
"20","Maine","2012",1327691
"21","Maryland","2012",5887072
"22","Massachusetts","2012",6663158
"23","Michigan","2012",9896930
"24","Minnesota","2012",5376550
"25","Mississippi","2012",2983767
"26","Missouri","2012",6024081
"27","Montana","2012",1003754
"28","Nebraska","2012",1853323
"29","Nevada","2012",2744566
"30","New Hampshire","2012",1323962
"31","New Jersey","2012",8845483
"32","New Mexico","2012",2087549
"33","New York","2012",19574549
"34","North Carolina","2012",9749123
"35","North Dakota","2012",701116
"36","Ohio","2012",11548369
"37","Oklahoma","2012",3818600
"38","Oregon","2012",3899118
"39","Pennsylvania","2012",12766827
"40","Rhode Island","2012",1054601
"41","South Carolina","2012",4717112
"42","South Dakota","2012",833496
"43","Tennessee","2012",6451281
"44","Texas","2012",26089620
"45","Utah","2012",2853467
"46","Vermont","2012",626063
"47","Virginia","2012",8185229
"48","Washington","2012",6892876
"49","West Virginia","2012",1856764
"50","Wisconsin","2012",5719855
"51","Wyoming","2012",576270
"52","Alabama","2013",4830460
"53","Alaska","2013",737045
"54","Arizona","2013",6634999
"55","Arkansas","2013",2959549
"56","California","2013",38280824
"57","Colorado","2013",5270482
"58","Connecticut","2013",3594915
"59","Delaware","2013",923638
"60","District of Columbia","2013",650431
"61","Florida","2013",19563166
"62","Georgia","2013",9973326
"63","Hawaii","2013",1408453
"64","Idaho","2013",1611530
"65","Illinois","2013",12898269
"66","Indiana","2013",6568367
"67","Iowa","2013",3093078
"68","Kansas","2013",2893510
"69","Kentucky","2013",4404817
"70","Louisiana","2013",4624577
"71","Maine","2013",1328196
"72","Maryland","2013",5923704
"73","Massachusetts","2013",6713944
"74","Michigan","2013",9913349
"75","Minnesota","2013",5413693
"76","Mississippi","2013",2988797
"77","Missouri","2013",6040658
"78","Montana","2013",1013564
"79","Nebraska","2013",1865414
"80","Nevada","2013",2776972
"81","New Hampshire","2013",1326408
"82","New Jersey","2013",8858362
"83","New Mexico","2013",2092792
"84","New York","2013",19628043
"85","North Carolina","2013",9843599
"86","North Dakota","2013",721999
"87","Ohio","2013",11576576
"88","Oklahoma","2013",3853205
"89","Oregon","2013",3922908
"90","Pennsylvania","2013",12776621
"91","Rhode Island","2013",1055122
"92","South Carolina","2013",4764153
"93","South Dakota","2013",842270
"94","Tennessee","2013",6493432
"95","Texas","2013",26489464
"96","Utah","2013",2897927
"97","Vermont","2013",626212
"98","Virginia","2013",8253053
"99","Washington","2013",6962906
"100","West Virginia","2013",1853873
"101","Wisconsin","2013",5736952
"102","Wyoming","2013",582123
"103","Alabama","2014",4842481
"104","Alaska","2014",736307
"105","Arizona","2014",6733840
"106","Arkansas","2014",2967726
"107","California","2014",38625139
"108","Colorado","2014",5351218
"109","Connecticut","2014",3594783
"110","Delaware","2014",932596
"111","District of Columbia","2014",662513
"112","Florida","2014",19860330
"113","Georgia","2014",10069001
"114","Hawaii","2014",1414862
"115","Idaho","2014",1631479
"116","Illinois","2014",12888962
"117","Indiana","2014",6593533
"118","Iowa","2014",3109504
"119","Kansas","2014",2900896
"120","Kentucky","2014",4414483
"121","Louisiana","2014",4644204
"122","Maine","2014",1330760
"123","Maryland","2014",5958165
"124","Massachusetts","2014",6763652
"125","Michigan","2014",9930589
"126","Minnesota","2014",5451522
"127","Mississippi","2014",2990623
"128","Missouri","2014",6056293
"129","Montana","2014",1021891
"130","Nebraska","2014",1879522
"131","Nevada","2014",2819012
"132","New Hampshire","2014",1333223
"133","New Jersey","2014",8866780
"134","New Mexico","2014",2090342
"135","New York","2014",19656330
"136","North Carolina","2014",9933944
"137","North Dakota","2014",737382
"138","Ohio","2014",11602973
"139","Oklahoma","2014",3878367
"140","Oregon","2014",3964106
"141","Pennsylvania","2014",12789101
"142","Rhode Island","2014",1056017
"143","South Carolina","2014",4823793
"144","South Dakota","2014",849088
"145","Tennessee","2014",6540826
"146","Texas","2014",26977142
"147","Utah","2014",2937399
"148","Vermont","2014",625218
"149","Virginia","2014",8312076
"150","Washington","2014",7052439
"151","West Virginia","2014",1849467
"152","Wisconsin","2014",5751974
"153","Wyoming","2014",582548
"154","Alabama","2015",4853160
"155","Alaska","2015",737547
"156","Arizona","2015",6833596
"157","Arkansas","2015",2978407
"158","California","2015",38953142
"159","Colorado","2015",5452107
"160","Connecticut","2015",3587509
"161","Delaware","2015",941413
"162","District of Columbia","2015",675254
"163","Florida","2015",20224249
"164","Georgia","2015",10181111
"165","Hawaii","2015",1422484
"166","Idaho","2015",1651523
"167","Illinois","2015",12864342
"168","Indiana","2015",6608296
"169","Iowa","2015",3121460
"170","Kansas","2015",2909502
"171","Kentucky","2015",4425999
"172","Louisiana","2015",4664851
"173","Maine","2015",1328484
"174","Maryland","2015",5986717
"175","Massachusetts","2015",6795891
"176","Michigan","2015",9932573
"177","Minnesota","2015",5482503
"178","Mississippi","2015",2988693
"179","Missouri","2015",6071745
"180","Montana","2015",1030503
"181","Nebraska","2015",1891507
"182","Nevada","2015",2868666
"183","New Hampshire","2015",1336294
"184","New Jersey","2015",8870869
"185","New Mexico","2015",2090211
"186","New York","2015",19661411
"187","North Carolina","2015",10033079
"188","North Dakota","2015",754022
"189","Ohio","2015",11617850
"190","Oklahoma","2015",3909831
"191","Oregon","2015",4016918
"192","Pennsylvania","2015",12785759
"193","Rhode Island","2015",1056173
"194","South Carolina","2015",4892253
"195","South Dakota","2015",853933
"196","Tennessee","2015",6590808
"197","Texas","2015",27486814
"198","Utah","2015",2982497
"199","Vermont","2015",625197
"200","Virginia","2015",8362907
"201","Washington","2015",7163543
"202","West Virginia","2015",1841996
"203","Wisconsin","2015",5761406
"204","Wyoming","2015",585668
"205","Alabama","2016",4864745
"206","Alaska","2016",741504
"207","Arizona","2016",6945452
"208","Arkansas","2016",2990410
"209","California","2016",39209127
"210","Colorado","2016",5540921
"211","Connecticut","2016",3578674
"212","Delaware","2016",949216
"213","District of Columbia","2016",686575
"214","Florida","2016",20629982
"215","Georgia","2016",10304763
"216","Hawaii","2016",1428105
"217","Idaho","2016",1682930
"218","Illinois","2016",12826895
"219","Indiana","2016",6633344
"220","Iowa","2016",3131785
"221","Kansas","2016",2911263
"222","Kentucky","2016",4438229
"223","Louisiana","2016",4678215
"224","Maine","2016",1331370
"225","Maryland","2016",6004692
"226","Massachusetts","2016",6826022
"227","Michigan","2016",9951890
"228","Minnesota","2016",5523409
"229","Mississippi","2016",2988298
"230","Missouri","2016",6087203
"231","Montana","2016",1040863
"232","Nebraska","2016",1905924
"233","Nevada","2016",2919772
"234","New Hampshire","2016",1342373
"235","New Jersey","2016",8874516
"236","New Mexico","2016",2092789
"237","New York","2016",19641589
"238","North Carolina","2016",10156679
"239","North Dakota","2016",754353
"240","Ohio","2016",11635003
"241","Oklahoma","2016",3926769
"242","Oregon","2016",4091404
"243","Pennsylvania","2016",12783538
"244","Rhode Island","2016",1057063
"245","South Carolina","2016",4958235
"246","South Dakota","2016",862890
"247","Tennessee","2016",6645011
"248","Texas","2016",27937492
"249","Utah","2016",3042613
"250","Vermont","2016",623644
"251","Virginia","2016",8410946
"252","Washington","2016",7294680
"253","West Virginia","2016",1830929
"254","Wisconsin","2016",5772958
"255","Wyoming","2016",584290
